recclass,count,obs_cv,obs_varlog,obs_mad_ratio,obs_n,total_survived,z_null1_cv,p_null1_cv,surv_null1_cv,z_null1_varlog,p_null1_varlog,surv_null1_varlog,z_null1_mad_ratio,p_null1_mad_ratio,surv_null1_mad_ratio,z_null2_cv,p_null2_cv,surv_null2_cv,z_null2_varlog,p_null2_varlog,surv_null2_varlog,z_null2_mad_ratio,p_null2_mad_ratio,surv_null2_mad_ratio,z_null3_cv,p_null3_cv,surv_null3_cv,z_null3_varlog,p_null3_varlog,surv_null3_varlog,z_null3_mad_ratio,p_null3_mad_ratio,surv_null3_mad_ratio,z_null4_cv,p_null4_cv,surv_null4_cv,z_null4_varlog,p_null4_varlog,surv_null4_varlog,z_null4_mad_ratio,p_null4_mad_ratio,surv_null4_mad_ratio,z_null5_cv,p_null5_cv,surv_null5_cv,z_null5_varlog,p_null5_varlog,surv_null5_varlog,z_null5_mad_ratio,p_null5_mad_ratio,surv_null5_mad_ratio
H3.8,76,3.766144620073912,4.161124273646885,0.8456680785521757,76,2,-1.0668366502538495,0.24,False,-2.028030868620879,0.0,True,-2.510520094288703,0.0,True,-0.6932615428623327,0.58,False,-1.0095901361881539,0.34,False,-1.03664367982072,0.26,False,-0.3516176456015638,0.9,False,-0.3086428681969028,0.82,False,-0.9547347994948223,0.34,False,-0.634148670623784,0.7,False,-0.9558252915270075,0.32,False,-1.0079047095505065,0.32,False,-0.6932615428623327,0.58,False,-1.0095901361881539,0.34,False,-1.03664367982072,0.26,False
Martian (shergottite),99,2.757439218463336,3.7988766599379424,0.8544748969197187,99,2,-1.6291910209844436,0.04,False,-2.21846992213838,0.02,True,-2.571533646731862,0.02,True,-1.437672112809751,0.08,False,-1.0438943544946644,0.3,False,-1.513466876182272,0.08,False,-1.1998324674884155,0.16,False,-0.4588253935793307,0.68,False,-1.8098260934915704,0.12,False,-1.6039274162540142,0.02,False,-1.2334237216979647,0.24,False,-1.622028870839494,0.14,False,-1.437672112809751,0.08,False,-1.0438943544946644,0.3,False,-1.513466876182272,0.08,False
Diogenite,241,4.220150233573617,4.576205130096004,0.9057377049180327,241,1,-1.4477655431938867,0.04,False,-2.2385123066501142,0.0,True,-1.207575450151918,0.24,False,-1.2953834952296193,0.06,False,-1.363169740456649,0.12,False,0.29854308208185076,0.82,False,-1.1932070748143901,0.14,False,-1.0499311893548575,0.26,False,0.24372329936612006,0.86,False,-1.188274592900234,0.16,False,-1.3248474023505266,0.14,False,0.3204723442168078,0.66,False,-0.9380788165723166,0.42,False,-0.8777967690059022,0.38,False,-0.08121954637294497,0.94,False
CO3,334,10.200824745767223,5.618214834378258,0.9501385041551247,334,1,0.19484735981469073,0.74,False,-1.2923240098731206,0.28,False,0.9703239161547883,0.38,False,-0.10692201662687457,1.0,False,-1.775973463268277,0.04,True,1.4069859165274443,0.18,False,0.7325656457782775,0.4,False,-0.3992681633536081,0.8,False,1.1047483767711013,0.28,False,0.054004795751394545,0.78,False,-1.4352211109398563,0.16,False,1.4902221863660048,0.14,False,-1.0087880511687897,0.32,False,-1.006233865830814,0.26,False,0.4992763671027846,0.6,False
H5-6,63,6.5915998863054615,3.929521956417235,0.927787610619469,63,1,1.1865411233388465,0.3,False,-1.8735028408319454,0.02,True,0.07621303288745218,0.98,False,1.0404003050152921,0.44,False,-1.0104377182983821,0.28,False,1.2404957001645431,0.14,False,1.9649688078658754,0.14,False,-0.4049905811875301,0.88,False,1.1582813360479323,0.1,False,1.198630818008651,0.34,False,-1.1304701364163008,0.24,False,1.115749207752483,0.14,False,1.0404003050152917,0.44,False,-1.0104377182983821,0.28,False,1.240495700164538,0.14,False
Acapulcoite,54,2.608774384598701,4.1356682060118,0.8365432098765433,54,1,-1.1971230705832956,0.22,False,-1.3954079924029614,0.22,False,-2.0764221441762425,0.06,False,-1.415246507034116,0.12,False,-1.5147492499182842,0.12,False,0.28597210195703904,0.82,False,-1.0654278450956105,0.34,False,-1.0617447414716237,0.38,False,0.169921409539236,0.9,False,-1.4654300931736188,0.06,False,-1.4070427529830793,0.04,True,0.018625291025796225,0.84,False,-1.415246507034116,0.12,False,-1.5147492499182833,0.12,False,0.28597210195704376,0.82,False
H~5,111,5.212056012823311,5.067453375589915,0.9448946515397082,111,1,-0.6025876172889545,0.74,False,-1.3546512558501778,0.18,False,0.4451431877543514,0.76,False,-0.3183990265685607,0.9,False,-1.709341226001174,0.04,True,1.0590166256775961,0.22,False,0.10455520439831878,0.66,False,-0.6526707630947302,0.58,False,1.1041171163810384,0.24,False,-0.43927971379670394,0.86,False,-1.3207233388945736,0.12,False,1.0043096454857505,0.22,False,-0.3530552433154937,0.86,False,-1.3833282324333853,0.12,False,0.21915589645455358,0.82,False
L5/6,109,6.2897196871718934,4.017394905165002,0.9256,109,1,0.17699181412749387,0.7,False,-2.2423850267299015,0.02,True,0.07186877277826002,0.94,False,0.22647791235252596,0.7,False,-1.8186015179783876,0.06,False,0.8884439098913359,0.54,False,0.6437912282131757,0.46,False,-0.6018096550361776,0.62,False,0.7764401669517874,0.52,False,0.07625798785372365,0.82,False,-1.7224600607630414,0.08,False,0.8183871490155532,0.54,False,0.1436332765163675,0.8,False,-1.6297368739795444,0.06,False,0.765776523887479,0.6,False
Eucrite-mmict,108,5.604643626102179,5.146631335825125,0.8292565223948124,108,1,-0.24299455855960586,0.9,False,-1.1621825102448051,0.26,False,-3.7129621981393655,0.0,True,0.024808706239333893,0.8,False,0.023595849668579038,0.94,False,-1.611920886227883,0.16,False,-0.228720775819187,0.94,False,-0.9901811846660319,0.36,False,-1.9059131707985026,0.06,False,0.11155275556813843,0.7,False,-0.5077055650882888,0.62,False,-1.5479121093334607,0.16,False,-0.12410267574333834,0.92,False,-0.11333922093232786,0.92,False,-0.9504816274968437,0.42,False
CV3,256,13.972125669748788,7.022130912550418,0.9834824501032347,256,0,1.4857496197391877,0.28,False,0.9358242601769161,0.32,False,2.681656547762996,0.0,False,1.5329791252746483,0.16,False,-0.42974395551928224,0.66,False,3.6275959971559386,0.0,False,1.7516561874674166,0.16,False,0.46833633476043135,0.7,False,2.898340877632969,0.0,False,1.3889994809064263,0.36,False,-0.507504063396419,0.68,False,2.921904220912055,0.0,False,0.3311680949626457,0.62,False,-0.23472244199477194,0.86,False,1.8182999613062663,0.04,False
"Iron, IIIAB",284,7.95506596348288,10.992120827517951,0.9946575342465754,284,0,-0.3602851402376737,0.86,False,7.187442142088842,0.0,False,3.630059231811151,0.0,False,-0.16059684188622964,0.94,False,9.717270016143047,0.0,False,2.1946346850957794,0.0,False,-0.31325246488770414,0.62,False,6.2348391682794775,0.0,False,1.3496684651451738,0.12,False,-0.4508453145631473,0.78,False,9.704458607750816,0.0,False,2.5372112075248436,0.0,False,0.005521463893031328,0.82,False,5.351493510890719,0.0,False,1.689031034849205,0.08,False
H3,386,9.209028481234588,5.173323032999997,0.9097022094140249,386,0,-0.18773654993064628,1.0,False,-1.8643175154635383,0.08,False,-1.350671968685537,0.2,False,-0.2845640602648518,0.98,False,-1.3117844135568844,0.18,False,-0.4633005784793667,0.62,False,-0.004659474797672524,0.78,False,-0.5105433762165166,0.7,False,-0.6332861969842603,0.6,False,-0.40755909322709216,0.86,False,-1.2212484751799069,0.22,False,-0.4990044057671365,0.6,False,-0.42056134929094924,0.82,False,-0.8653738962577746,0.38,False,-0.02912847475472586,0.82,False
