recclass,count,unique_names,shannon_obs,shannon_null_mean,shannon_null_std,shannon_effect,shannon_zscore,shannon_pvalue,simpson_obs,simpson_null_mean,simpson_null_std,simpson_effect,simpson_zscore,simpson_pvalue,shannon_fdr_q,simpson_fdr_q
E6,9,9,2.1972245773362196,2.197224577336219,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.8888888888888888,0.8888888888888892,3.3306690738754696e-16,-3.3306690738754696e-16,-1.0,1.0,1.0,1.0
EH,2,2,0.6931471805599453,0.6931471805599454,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
EH-imp melt,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
EH3,120,120,4.787491742782046,4.787491742782047,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.9916666666666667,0.9916666666666669,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,1.0,1.0
EH3/4-an,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EH4,18,18,2.8903717578961645,2.890371757896164,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.9444444444444444,0.9444444444444445,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
EH4/5,9,9,2.1972245773362196,2.197224577336219,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.8888888888888888,0.8888888888888892,3.3306690738754696e-16,-3.3306690738754696e-16,-1.0,1.0,1.0,1.0
EH5,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
EH6,5,5,1.6094379124341005,1.6094379124340998,6.661338147750939e-16,6.661338147750939e-16,1.0,1.0,0.7999999999999999,0.8,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
EH6-an,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EH7,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EH7-an,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EL-melt rock,2,2,0.6931471805599453,0.6931471805599454,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
EL3,19,19,2.9444389791664407,2.9444389791664416,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.9473684210526316,0.9473684210526316,0.0,0.0,0.0,1.0,1.0,1.0
EL3/4,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EL4,13,13,2.564949357461537,2.5649493574615367,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.9230769230769231,0.9230769230769232,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
EL4/5,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EL5,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
EL6,72,72,4.276666119016055,4.276666119016055,0.0,0.0,0.0,1.0,0.9861111111111112,0.9861111111111108,3.3306690738754696e-16,3.3306690738754696e-16,1.0,1.0,1.0,1.0
EL6 ,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EL6/7,2,2,0.6931471805599453,0.6931471805599454,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
EL7,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Enst achon,3,3,1.0986122886681096,1.0986122886681091,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
Enst achon-ung,3,3,1.0986122886681096,1.0986122886681091,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
Eucrite,221,221,5.398162701517753,5.3981627015177525,8.881784197001252e-16,8.881784197001252e-16,1.0,1.0,0.995475113122172,0.995475113122172,0.0,0.0,0.0,1.0,1.0,1.0
Eucrite-Mg rich,4,4,1.3862943611198906,1.3862943611198908,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
Eucrite-an,3,3,1.0986122886681096,1.0986122886681091,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
Eucrite-br,80,80,4.382026634673881,4.38202663467388,8.881784197001252e-16,8.881784197001252e-16,1.0,1.0,0.9875,0.9875000000000003,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,1.0,1.0
Eucrite-cm,26,26,3.2580965380214826,3.258096538021483,4.440892098500626e-16,-4.440892098500626e-16,-1.0,1.0,0.9615384615384616,0.9615384615384616,0.0,0.0,0.0,1.0,1.0,1.0
Eucrite-mmict,108,108,4.682131227124219,4.682131227124219,0.0,0.0,0.0,1.0,0.9907407407407407,0.9907407407407407,0.0,0.0,0.0,1.0,1.0,1.0
Eucrite-pmict,207,207,5.332718793265369,5.33271879326537,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.9951690821256038,0.9951690821256035,3.3306690738754696e-16,3.3306690738754696e-16,1.0,1.0,1.0,1.0
Eucrite-unbr,32,32,3.4657359027997265,3.465735902799727,4.440892098500626e-16,-4.440892098500626e-16,-1.0,1.0,0.96875,0.96875,0.0,0.0,0.0,1.0,1.0,1.0
Fusion crust,4,4,1.3862943611198906,1.3862943611198908,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
H,84,84,4.430816798843313,4.4308167988433125,8.881784197001252e-16,8.881784197001252e-16,1.0,1.0,0.9880952380952381,0.9880952380952378,3.3306690738754696e-16,3.3306690738754696e-16,1.0,1.0,1.0,1.0
H(5?),2,2,0.6931471805599453,0.6931471805599454,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
H(?)4,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H(L)3,2,2,0.6931471805599453,0.6931471805599454,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
H(L)3-an,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H-an,4,4,1.3862943611198906,1.3862943611198908,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
H-imp melt,11,11,2.3978952727983707,2.3978952727983716,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.9090909090909091,0.9090909090909087,3.3306690738754696e-16,3.3306690738754696e-16,1.0,1.0,1.0,1.0
H-melt breccia,4,4,1.3862943611198906,1.3862943611198908,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
H-melt rock,8,8,2.0794415416798357,2.0794415416798357,0.0,0.0,0.0,1.0,0.875,0.875,0.0,0.0,0.0,1.0,1.0,1.0
H-metal,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
H/L3,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
H/L3-4,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H/L3.5,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H/L3.6,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H/L3.7,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H/L3.9,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H/L4,13,13,2.564949357461537,2.5649493574615367,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.9230769230769231,0.9230769230769232,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
H/L4-5,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H/L4/5,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H/L5,7,7,1.9459101490553132,1.9459101490553128,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.8571428571428572,0.8571428571428574,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,1.0,1.0
H/L6,11,11,2.3978952727983707,2.3978952727983716,8.881784197001252e-16,-8.881784197001252e-16,-1.0,1.0,0.9090909090909091,0.9090909090909087,3.3306690738754696e-16,3.3306690738754696e-16,1.0,1.0,1.0,1.0
H/L6-melt rock,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H/L~4,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H3,386,386,5.955837369464831,5.955837369464831,0.0,0.0,0.0,1.0,0.9974093264248705,0.9974093264248705,0.0,0.0,0.0,1.0,1.0,1.0
H3 ,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H3-4,10,10,2.3025850929940455,2.302585092994045,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.9,0.9000000000000002,2.220446049250313e-16,-2.220446049250313e-16,-1.0,1.0,1.0,1.0
H3-5,39,39,3.663561646129646,3.663561646129645,8.881784197001252e-16,8.881784197001252e-16,1.0,1.0,0.9743589743589743,0.9743589743589743,0.0,0.0,0.0,1.0,1.0,1.0
H3-6,43,43,3.761200115693562,3.761200115693562,0.0,0.0,0.0,1.0,0.9767441860465116,0.9767441860465117,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,1.0,1.0
H3-an,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H3.0,3,3,1.0986122886681096,1.0986122886681091,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
H3.0-3.4,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
H3.05,2,2,0.6931471805599453,0.6931471805599454,1.1102230246251565e-16,-1.1102230246251565e-16,-1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
