recclass,count,mean_mass,cv_obs,cv_null_mean,cv_null_std,cv_effect,cv_zscore,cv_pvalue,cv_fdr_q
"Iron, IIE-an",7,53137.04571428571,1.6201279259663304,1.5293171272538229,0.49807904568134825,0.09081079871250752,0.18232206213028437,0.804,0.935873015873016
L3.6,48,1773.059583333333,4.698797989477794,4.086428743469426,1.3821465641079038,0.6123692460083676,0.4430566641126202,0.632,0.8745
LL3.2,14,4478.7300000000005,2.8331236333584915,2.332894866967229,0.685263872723064,0.5002287663912623,0.7299797731981414,0.528,0.8604444444444446
CO3.5,12,4799.423333333333,2.9481848878827606,2.171606281072575,0.6598454417945894,0.7765786068101854,1.1769098604335517,0.328,0.830561797752809
Lodranite,40,268.9335,1.7375574181041369,2.978562089166193,1.5190174498578424,-1.241004671062056,-0.8169785483229278,0.612,0.8742857142857142
H5/6,193,837.3940414507772,3.155360618674839,7.619299897741896,2.9743029195600887,-4.463939279067057,-1.5008354561704467,0.016,0.20705882352941177
"Pallasite, PMG",38,147304.73684210525,1.8483423118296922,3.3544274532859237,1.3340261592014935,-1.5060851414562315,-1.1289772176264723,0.192,0.7479999999999999
Eucrite-cm,26,2063.8076923076924,2.214267659925621,2.9221590044887598,0.9548304657832927,-0.707891344563139,-0.7413790928658965,0.544,0.8673381294964029
Pallasite,35,6319.56,1.4785710048599874,3.2616423891757065,1.2014441967898513,-1.783071384315719,-1.484106701817631,0.016,0.20705882352941177
L5-6,41,8938.002195121951,5.177314731826593,3.742725206348916,1.3023520110495206,1.4345895254776773,1.1015374593859544,0.344,0.8408888888888888
CO3.6,6,1010.1183333333333,1.2885345494789935,1.5953312004039548,0.383694001817283,-0.30679665092496133,-0.7995867787139904,0.512,0.8598473282442748
Martian (nakhlite),14,2058.714285714286,1.9788985796229206,2.1999722482681965,0.7392380638871696,-0.2210736686452759,-0.29905612203299436,0.872,0.9450246305418719
LL3.6,17,4852.049411764706,3.749549657379981,2.6270173614636425,0.743254780630234,1.1225322959163386,1.510292735641069,0.2,0.7479999999999999
C3-ung,12,617.5666666666667,1.9765555112262485,1.9780211970325146,0.7382027088604313,-0.0014656858062660483,-0.0019854787698200646,0.892,0.9480193236714977
H3-4,10,9010.016,2.8493183187772426,2.0219137037894543,0.5716785128245215,0.8274046149877883,1.447325019965833,0.184,0.7479999999999999
CO3.4,5,1415.594,1.6392733155028416,1.6273689678536276,0.26470129105508716,0.011904347649213998,0.04497276005630277,0.936,0.9667605633802817
EH3,120,293.8635833333334,2.5064408159440767,6.140940943018832,2.1962889717817626,-3.6345001270747557,-1.6548369425751062,0.004,0.088
"Iron, IAB-ung",46,686004.9673913043,5.279457503798249,3.6457183407875178,1.439760406498337,1.6337391630107314,1.1347298867484301,0.332,0.830561797752809
Winonaite,25,1129.0132,4.141134339555796,2.8304547789038463,1.0812093214180567,1.3106795606519497,1.212234795509284,0.352,0.8425531914893617
