recclass,count,shannon_entropy,simpson_index
L(LL)3.5-3.7,1,-0.0,0.0
L(LL)5,1,-0.0,0.0
L(LL)6,1,-0.0,0.0
L(LL)~4,1,-0.0,0.0
L-imp melt,25,3.2188758248682,0.96
L-melt breccia,14,2.6390573296152584,0.9285714285714286
L-melt rock,21,3.044522437723423,0.9523809523809524
L-metal,5,1.6094379124341005,0.7999999999999999
L/LL,1,-0.0,0.0
L/LL(?)3,1,-0.0,0.0
L/LL-melt rock,1,-0.0,0.0
L/LL3,26,3.2580965380214826,0.9615384615384616
L/LL3-5,3,1.0986122886681096,0.6666666666666667
L/LL3-6,1,-0.0,0.0
L/LL3.10,1,-0.0,0.0
L/LL3.2,2,0.6931471805599453,0.5
L/LL3.4,4,1.3862943611198906,0.75
L/LL3.5,1,-0.0,0.0
L/LL3.6/3.7,1,-0.0,0.0
L/LL4,20,2.995732273553991,0.95
L/LL4-6,1,-0.0,0.0
L/LL4/5,1,-0.0,0.0
L/LL5,16,2.772588722239781,0.9375
L/LL5-6,1,-0.0,0.0
L/LL5/6,5,1.6094379124341005,0.7999999999999999
L/LL6,26,3.2580965380214826,0.9615384615384616
L/LL6-an,1,-0.0,0.0
L/LL~4,1,-0.0,0.0
L/LL~5,2,0.6931471805599453,0.5
L/LL~6,3,1.0986122886681096,0.6666666666666667
L3,365,5.8998973535824915,0.9972602739726028
L3-4,4,1.3862943611198906,0.75
L3-5,13,2.564949357461537,0.9230769230769231
L3-6,32,3.4657359027997265,0.96875
L3-7,1,-0.0,0.0
L3-melt breccia,1,-0.0,0.0
L3.0,2,0.6931471805599453,0.5
L3.0-3.7,1,-0.0,0.0
L3.0-3.9,1,-0.0,0.0
L3.00,1,-0.0,0.0
L3.05,2,0.6931471805599453,0.5
L3.1,13,2.564949357461537,0.9230769230769231
L3.10,1,-0.0,0.0
L3.2,15,2.70805020110221,0.9333333333333333
L3.2-3.5,1,-0.0,0.0
L3.2-3.6,1,-0.0,0.0
L3.3,17,2.833213344056216,0.9411764705882353
L3.3-3.5,1,-0.0,0.0
L3.3-3.6,1,-0.0,0.0
L3.3-3.7,1,-0.0,0.0
L3.4,51,3.9318256327243257,0.9803921568627451
L3.4-3.7,1,-0.0,0.0
L3.5,88,4.477336814478207,0.9886363636363636
L3.5-3.7,1,-0.0,0.0
L3.5-3.8,1,-0.0,0.0
L3.5-3.9,1,-0.0,0.0
L3.5-5,1,-0.0,0.0
L3.6,48,3.8712010109078907,0.9791666666666666
L3.6-4,1,-0.0,0.0
L3.7,49,3.8918202981106265,0.9795918367346939
L3.7-3.9,1,-0.0,0.0
L3.7-4,1,-0.0,0.0
L3.7-6,1,-0.0,0.0
L3.7/3.8,1,-0.0,0.0
L3.8,66,4.189654742026425,0.9848484848484849
L3.8-5,2,0.6931471805599453,0.5
L3.8-6,9,2.1972245773362196,0.8888888888888888
L3.8-an,1,-0.0,0.0
L3.9,27,3.2958368660043287,0.962962962962963
L3.9-5,1,-0.0,0.0
L3.9-6,2,0.6931471805599453,0.5
L3.9/4,1,-0.0,0.0
L3/4,12,2.4849066497880004,0.9166666666666666
L4,1253,7.133295954896068,0.9992019154030327
L4 ,3,1.0986122886681096,0.6666666666666667
L4-5,24,3.1780538303479453,0.9583333333333334
L4-6,33,3.4965075614664802,0.9696969696969697
L4-an,1,-0.0,0.0
L4-melt breccia,1,-0.0,0.0
L4-melt rock,1,-0.0,0.0
L4/5,59,4.07753744390572,0.9830508474576272
L5,4796,8.475537516147405,0.999791492910759
L5 ,21,3.044522437723423,0.9523809523809524
L5-6,41,3.713572066704308,0.975609756097561
L5-7,1,-0.0,0.0
L5-melt breccia,3,1.0986122886681096,0.6666666666666667
L5/6,109,4.6913478822291435,0.9908256880733946
L6,8285,9.022201929860664,0.99987929993965
L6 ,54,3.988984046564274,0.9814814814814815
L6-melt breccia,10,2.3025850929940455,0.9
L6-melt rock,1,-0.0,0.0
L6/7,9,2.1972245773362196,0.8888888888888888
L7,21,3.044522437723423,0.9523809523809524
LL,225,5.41610040220442,0.9955555555555555
LL(L)3,7,1.9459101490553132,0.8571428571428572
LL(L)3.1,1,-0.0,0.0
LL-imp melt,2,0.6931471805599453,0.5
LL-melt breccia,54,3.988984046564274,0.9814814814814815
LL-melt rock,7,1.9459101490553132,0.8571428571428572
LL3,128,4.852030263919617,0.9921875
LL3-4,1,-0.0,0.0
LL3-5,2,0.6931471805599453,0.5
LL3-6,9,2.1972245773362196,0.8888888888888888
LL3.0,4,1.3862943611198906,0.75
LL3.00,1,-0.0,0.0
LL3.05,1,-0.0,0.0
LL3.1,6,1.791759469228055,0.8333333333333334
LL3.1-3.5,1,-0.0,0.0
LL3.10,3,1.0986122886681096,0.6666666666666667
LL3.15,3,1.0986122886681096,0.6666666666666667
LL3.2,14,2.6390573296152584,0.9285714285714286
LL3.3,15,2.70805020110221,0.9333333333333333
LL3.4,20,2.995732273553991,0.95
LL3.5,17,2.833213344056216,0.9411764705882353
LL3.6,17,2.833213344056216,0.9411764705882353
LL3.7,26,3.2580965380214826,0.9615384615384616
LL3.7-6,1,-0.0,0.0
LL3.8,28,3.3322045101752034,0.9642857142857143
LL3.8-4,1,-0.0,0.0
LL3.8-6,3,1.0986122886681096,0.6666666666666667
LL3.9,16,2.772588722239781,0.9375
LL3.9/4,1,-0.0,0.0
LL3/4,1,-0.0,0.0
LL4,268,5.5909869805108565,0.996268656716418
LL4-5,10,2.3025850929940455,0.9
LL4-6,34,3.5263605246161616,0.9705882352941176
LL4/5,5,1.6094379124341005,0.7999999999999999
LL4/6,1,-0.0,0.0
LL5,2766,7.925157512224702,0.9996384671005062
LL5-6,40,3.6888794541139363,0.975
LL5-7,1,-0.0,0.0
LL5/6,48,3.8712010109078907,0.9791666666666666
LL6,2043,7.622174594817622,0.9995105237395986
LL6 ,2,0.6931471805599453,0.5
LL6(?),1,-0.0,0.0
LL6-an,1,-0.0,0.0
LL6-melt breccia,2,0.6931471805599453,0.5
LL6/7,4,1.3862943611198906,0.75
LL7,22,3.091042453358316,0.9545454545454546
LL7(?),1,-0.0,0.0
LL<3.5,1,-0.0,0.0
LL~3,3,1.0986122886681096,0.6666666666666667
LL~4,1,-0.0,0.0
LL~4/5,1,-0.0,0.0
LL~5,9,2.1972245773362196,0.8888888888888888
LL~6,5,1.6094379124341005,0.7999999999999999
Lodranite,40,3.6888794541139363,0.975
Lodranite-an,1,-0.0,0.0
Lunar,41,3.713572066704308,0.975609756097561
Lunar (anorth),69,4.23410650459726,0.9855072463768116
Lunar (bas. breccia),2,0.6931471805599453,0.5
Lunar (bas/anor),2,0.6931471805599453,0.5
Lunar (bas/gab brec),1,-0.0,0.0
Lunar (basalt),16,2.772588722239781,0.9375
Lunar (feldsp. breccia),27,3.2958368660043287,0.962962962962963
Lunar (gabbro),6,1.791759469228055,0.8333333333333334
Lunar (norite),1,-0.0,0.0
L~3,1,-0.0,0.0
L~4,10,2.3025850929940455,0.9
L~4-6,1,-0.0,0.0
L~5,32,3.4657359027997265,0.96875
L~6,94,4.543294782270004,0.9893617021276596
Martian,1,-0.0,0.0
Martian (OPX),1,-0.0,0.0
Martian (basaltic breccia),2,0.6931471805599453,0.5
Martian (chassignite),2,0.6931471805599453,0.5
Martian (nakhlite),14,2.6390573296152584,0.9285714285714286
Martian (shergottite),99,4.59511985013459,0.98989898989899
Mesosiderite,137,4.919980925828125,0.9927007299270073
Mesosiderite-A,2,0.6931471805599453,0.5
Mesosiderite-A1,6,1.791759469228055,0.8333333333333334
Mesosiderite-A2,3,1.0986122886681096,0.6666666666666667
Mesosiderite-A3,3,1.0986122886681096,0.6666666666666667
Mesosiderite-A3/4,1,-0.0,0.0
Mesosiderite-A4,3,1.0986122886681096,0.6666666666666667
Mesosiderite-B,4,1.3862943611198906,0.75
Mesosiderite-B1,4,1.3862943611198906,0.75
Mesosiderite-B2,5,1.6094379124341005,0.7999999999999999
Mesosiderite-B4,3,1.0986122886681096,0.6666666666666667
Mesosiderite-C,7,1.9459101490553132,0.8571428571428572
Mesosiderite-C2,2,0.6931471805599453,0.5
Mesosiderite-an,6,1.791759469228055,0.8333333333333334
Mesosiderite?,1,-0.0,0.0
OC,79,4.3694478524670215,0.9873417721518988
OC3,8,2.0794415416798357,0.875
Pallasite,35,3.5553480614894135,0.9714285714285714
"Pallasite, PES",4,1.3862943611198906,0.75
"Pallasite, PMG",38,3.6375861597263857,0.9736842105263158
"Pallasite, PMG-an",11,2.3978952727983707,0.9090909090909091
"Pallasite, ungrouped",5,1.6094379124341005,0.7999999999999999
Pallasite?,1,-0.0,0.0
R,3,1.0986122886681096,0.6666666666666667
R3,15,2.70805020110221,0.9333333333333333
R3-4,1,-0.0,0.0
R3-5,6,1.791759469228055,0.8333333333333334
R3-6,10,2.3025850929940455,0.9
R3.4,1,-0.0,0.0
R3.5-4,1,-0.0,0.0
R3.5-6,1,-0.0,0.0
R3.6,3,1.0986122886681096,0.6666666666666667
R3.7,2,0.6931471805599453,0.5
R3.8,9,2.1972245773362196,0.8888888888888888
R3.8-5,1,-0.0,0.0
R3.8-6,4,1.3862943611198906,0.75
R3.9,4,1.3862943611198906,0.75
R3/4,2,0.6931471805599453,0.5
R4,42,3.7376696182833684,0.9761904761904762
R4/5,1,-0.0,0.0
R5,20,2.995732273553991,0.95
R6,9,2.1972245773362196,0.8888888888888888
Relict H,1,-0.0,0.0
Relict OC,65,4.174387269895637,0.9846153846153847
Relict iron,1,-0.0,0.0
Stone-uncl,50,3.912023005428146,0.98
Stone-ung,1,-0.0,0.0
Unknown,7,1.9459101490553132,0.8571428571428572
Ureilite,300,5.703782474656201,0.9966666666666667
Ureilite-an,4,1.3862943611198906,0.75
Ureilite-pmict,23,3.1354942159291497,0.9565217391304348
Winonaite,25,3.2188758248682,0.96
